Feature,Importance
CPEB4,6.085653067313172e-05
MRTFB,6.085653067312973e-05
SH3BP5L,5.96469147145917e-05
RAP1GAP2,5.940119886385097e-05
LYST,5.917902020414136e-05
HSBP1,5.7625020259281345e-05
NFIL3,5.722605929345834e-05
NRBF2,5.67862604712671e-05
ZDHHC21,5.2291693906481575e-05
CNOT7,4.8908650013533606e-05
ENSG00000280392,4.82084454935519e-05
KDM4C,4.707071951499416e-05
ALPK1,3.184106572798801e-05
NT5C3B,3.162148156269881e-05
SLC45A4,3.0961948252242106e-05
PLA2G15,1.637178216297434e-05
PPP1CB,1.6069168937696495e-05
TTF2,1.5932353949957542e-05
ASAP2,1.575856278785674e-05
ENSG00000254635,1.5140650112861947e-05
RFC4,1.4965069415580973e-05
LRIG2,1.4929732067386526e-05
TRBV12-3,6.700738724760945e-18
COMMD4,5.709056240842918e-18
BDH2,4.3567325306534935e-18
TRBV3-1,4.2805846254904975e-18
COMMD9,3.1419977132106172e-18
GOLT1B,2.6529471445144253e-18
LBHD1,2.3940963172045024e-18
TFAP4,2.2073440384006976e-18
ENSG00000244313,1.817467434545066e-18
ENOSF1,1.7288604627386968e-18
TMEM170B,1.2349219875359518e-18
NCBP2,1.112677605699087e-18
ARHGEF9,1.0318741684464697e-18
CLPX,0.0
LINC00641,0.0
ZNF875,0.0
MTERF4,0.0
PPM1M,0.0
DNAJC2,0.0
SNORA74B,0.0
