Feature,Importance,Mean_SHAP
RSRP1,0.0006864165418426606,0.0001123477353783096
IL3RA,0.0006851807973366114,5.8757851338472775e-05
ACER3,0.0006824012823647622,0.00016896139275672365
RNF130,0.0006791532587778155,9.769635850517655e-05
ZNF519,0.000679022911537165,-0.00011938856292532791
LILRB2,0.0006762827651949196,0.00011123453413859181
GAMT,0.0006759849081154865,0.00013979697406565146
IFITM1,0.0006756592124303885,-5.034887691322896e-05
GCLC,0.0006754209991744093,0.00016154924234659308
MAST3,0.0006741287281216013,0.0001420032182131282
GSTCD,0.000672924010143571,-4.52882263869959e-05
PILRA,0.0006676438241359579,0.00017530183677076064
LRRC61,0.0006658057703465525,0.00022480466578357586
WDR86,0.0006655645494001846,4.190051469089484e-05
APOL1,0.000665311146039019,-0.0001595633648882378
NIBAN3,0.0006641788635279902,0.00016060694067025449
MED24,0.0006639748468474292,0.00025535361236567666
RANGAP1,0.0006637666990851642,0.00010218088098552336
PPP6R3,0.0006622791078351075,0.0001534531318355002
ABCA3,0.0006571443863446525,-6.920990141755054e-05
TRERF1,0.0006568940360152511,0.00017374084665348763
CTU2,0.0006561247042103652,-2.9084924435527474e-05
HSPA5P1,0.0006524867354310217,1.0782734256906142e-05
SRSF2,0.0006505054466632418,-8.117165126602634e-05
TSKS,0.0006489365029478531,3.9239823561367114e-05
TIMM21,0.000647998517611125,0.00010522292550921301
DUSP6,0.0006472464801840554,0.0003805967449693411
MRPS12,0.0006454148390935453,-0.00025546810703356865
FBXO5,0.0006448761779129533,0.00020129726615843903
TBC1D14,0.0006444476939796694,-7.226751663129479e-06
TMEM87B,0.0006427103432396135,0.00020648513777307516
STAG1,0.0006425800193662257,-1.2689275904559524e-05
TTK,0.0006382842649087764,6.0582797784184096e-05
TMEM119,0.0006372300032827442,-0.00012741337529585762
TMEM129,0.0006347049409003712,-6.500169651939183e-06
ZNF768,0.0006330561712689669,-0.0001927063439628018
TP53INP2,0.0006327407392674375,0.00025016917017121106
TRAV19,0.0006324921594007645,-7.109477086172808e-05
VPS25,0.0006300541458655942,-1.24079084622612e-05
CAVIN3,0.0006290309014893595,0.00012894127990038985
UPF3B,0.0006286964200365662,-5.189918716289026e-05
RAVER2,0.0006282763276510428,0.00012682016154469777
PRF1,0.0006274623852898088,6.177351312510924e-05
OBI1,0.0006256573268008078,-6.328662070727036e-05
TAFA2,0.0006241810328932564,0.0002082906868363877
DCUN1D1,0.0006238567994841892,0.00010741636203945759
XRRA1,0.0006233296686252847,-1.1097178055785952e-05
PAXX,0.0006227467928853946,0.00015496504552115704
CHAF1A,0.0006208510771809729,0.00030441451352255383
ZNF778,0.0006206541570511631,-0.00011227149578241646
TNK2,0.0006184346150145595,0.00014386403221713578
NONO,0.0006171837090564464,-0.00015054942704511486
AGAP2,0.0006125103135306654,-8.856077746495361e-05
APBA3,0.0006112882316165849,5.546743208018908e-05
NDST2,0.0006112099987305482,6.343908610233564e-05
HOTAIRM1,0.0006096273272779693,-3.355475857677948e-05
BRIP1,0.0006078771658786608,4.466746132394472e-05
SH3TC1,0.0006060201364615743,-0.0002126499101807435
TOGARAM2,0.0006058136897937588,3.150700560084104e-05
SMCR8,0.000603245024701237,0.0001020133060227505
NAAA,0.0006016466611020306,-9.887710293871775e-05
DHCR7,0.0006001727327151072,-4.1901503088634714e-05
CHURC1,0.0005980002956128199,-9.076830118627841e-05
ACTR1B,0.000597269586574468,0.0001490967887821999
ZNF396,0.0005963333404578631,-4.2804154025876565e-05
CDC25A,0.000596091102529344,0.00036680533245601855
PRTN3,0.0005949256347756804,-1.9345616811172473e-05
GPR55,0.0005909584931762939,0.00011885887531113054
PLCXD1,0.0005906430247988118,-0.0002791384636456322
TRAV12-3,0.0005888598338241138,-0.0001727559038833181
ATP2B1-AS1,0.0005879904462465205,-4.620980022581251e-05
RAD54L,0.0005872496978931418,-0.0001403206340400687
ABCB7,0.0005816862935980935,-2.8310003611002686e-05
ABCA2,0.0005785694483526664,-0.0003335819325660513
LINC00665,0.0005782052456287135,-0.00019517997043290184
CHCHD6,0.0005765810999138859,-2.6012908228564822e-05
BIVM,0.000576096556957539,-6.253902926671932e-05
AP3M1,0.0005751373951376873,0.000220466858473515
POLR3B,0.000574530265980631,0.00019786173264281585
ENO1,0.0005734178213742711,-3.386003405304992e-05
KCTD2,0.0005733573552901447,0.00012388751457487106
GRAMD1C,0.0005709970613124693,6.747191302782448e-05
LMBR1,0.0005696862238877136,0.00012654161938686472
SLC38A5,0.0005691114566432138,2.3963177577714463e-05
ARHGAP31,0.0005679598532079256,0.00018970704183773126
PHLDA1,0.0005661609303405284,0.00015544989301992515
CHFR,0.0005656621904705631,6.918932995165128e-05
USP45,0.0005621920203266967,0.00021263505187318093
MATN1-AS1,0.00056048280039777,-7.59511210048189e-05
TMEM181,0.0005597004718869781,-7.839949375434505e-05
CXCL2,0.0005595148354834149,-6.617584450733744e-05
CAPN15,0.0005593088114219071,5.694977518928592e-05
ERCC3,0.0005583659863362879,-0.00023604106874501588
MINDY3,0.0005582978692344858,9.439557341485573e-05
LINC02328,0.0005577581745516444,-4.3471546473306335e-05
SRSF3,0.0005566562947306043,-0.0002917898272669921
L3MBTL2,0.0005548418183512836,4.352009176252854e-05
SIPA1L2,0.0005545892793305631,1.2822326029643563e-05
EGR2,0.0005540542931826976,1.4588694476013302e-05
TLR5,0.0005540314847986423,-1.00371729434179e-05
GIMAP4,0.0005534715908679477,0.00010500213959551995
AMPD2,0.0005504096859446318,0.00023149542968474337
DCAF6,0.0005503385639140197,-0.00010421213696984856
JDP2,0.000550299331120949,3.78830299031595e-05
SNORD15B,0.0005490655053861188,0.0004147658528138685
RANBP9,0.0005482531885120279,0.00029734552046798606
CDK2AP2,0.0005472403464923215,-0.00015371323491936696
SNPH,0.0005455401858573699,4.289584210237459e-06
SERPINB9,0.0005446571433875778,-7.547536708020475e-05
UBIAD1,0.0005442533790051449,3.822851574757177e-05
CCDC127,0.0005433913217941621,0.00038681154011739957
SMG1P4,0.0005421058385626794,-7.903206777273898e-05
LINC02762,0.0005417921465304854,5.457633595761115e-05
SSTR3,0.000539749635334313,0.00014753343377737774
ZC3H4,0.000539576148598162,-0.0001486248740124319
PARD6A,0.0005391698897045675,9.2837459066961e-05
MANEA,0.0005384181911384516,0.00014873515285808715
SLC18A2-AS1,0.00053789465694624,0.00010297169070489942
ABTB1,0.0005374277859585466,8.284361942781646e-05
FBXL18,0.0005353085955359877,0.00021648432610008524
PLA2G6,0.0005334110452733983,-0.00014038676884812307
KLHL11,0.0005331848310134303,6.398683667781558e-06
TYMS,0.0005327604773991963,-3.653601427686337e-05
BABAM2,0.0005325416458988046,0.00014043692279998795
UHRF1,0.0005320390472990634,-3.209165670874644e-05
TRIM8,0.0005304305756203998,2.7022568071091415e-05
MFSD2A,0.0005262328830602731,0.0001687792705176549
ABHD18,0.0005254538454564958,-0.00014264450036018223
UBQLN1-AS1,0.0005232704147250751,0.00014491826954568778
MPZL1,0.0005231694003338095,5.1879863726887785e-05
ZNF595,0.0005230870339117176,0.00013315421397117869
ZBTB32,0.0005230708590322664,-0.0003028003004805175
PDCD1,0.0005229855557640526,-8.110590059897784e-05
RPS3AP20,0.0005198545592703594,0.00020684598367087906
FAM131B,0.0005196179759891607,0.00036012970427524397
CDC45,0.0005193144656390239,0.00024393309520934187
ZNG1A,0.0005192099440130915,0.0001231822477277336
NMUR1,0.0005170588151695682,0.0002059572589946755
BCR,0.0005150927660872877,-0.00022256716311950216
RAB27B,0.000513937614313726,0.0001944061793260343
TATDN2,0.000513879388192607,-0.00010026222685879544
HERC2P3,0.0005138253066865337,0.000152353271621226
ZNF682,0.0005127489937577273,-0.00010910485447194787
WARS1,0.000512184813663617,-9.886558004678858e-05
HDAC11,0.0005111372283663024,-2.4956406266411374e-05
FBF1,0.0005104110924388395,0.000172315955682726
AMD1,0.000509953883100969,0.00017131625615079597
IDNK,0.0005098950325515089,-0.00020098638516307315
RAB20,0.0005096927373863943,0.00043047118818921435
CORO7,0.0005095932333206737,-0.00015689410337880292
CENPL,0.0005090345633906967,0.00010104802393745307
MED20,0.0005089082295574926,-0.00017982353482137562
